image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.918445,bus,van,False
drive_022,2,5,0.891545,truck,bus,False
drive_022,3,1,0.90152,car,car,True
drive_022,4,3,0.844782,car,car,True
drive_022,5,4,0.800882,car,car,True
drive_033,2,1,0.991462,bus,van,False
drive_033,3,2,0.949421,truck,bus,False
drive_033,5,9,0.844568,car,car,True
drive_033,6,3,0.904488,car,car,True
drive_033,7,4,0.702031,car,car,True
drive_033,15,5,0.891528,car,car,True
drive_033,16,7,0.914116,car,car,True
drive_033,17,8,0.885381,car,car,True
drive_033,18,10,0.807107,car,car,True
drive_033,19,6,0.837986,car,car,True
drive_033,28,12,0.927828,bus,van,False
drive_033,29,11,0.870506,car,car,True
drive_038,4,6,0.824998,car,car,True
drive_038,5,7,0.836164,car,car,True
drive_038,6,8,0.84744,car,car,True
drive_038,7,11,0.750026,car,car,True
drive_038,8,13,0.861662,car,car,True
drive_038,9,10,0.816569,car,car,True
drive_038,10,9,0.905272,truck,bus,False
drive_038,11,15,0.892389,van,truck,False
drive_038,12,16,0.828768,car,car,True
drive_038,13,17,0.907978,car,car,True
drive_038,14,1,0.970034,car,car,True
drive_038,15,2,0.897736,car,car,True
drive_038,16,3,0.924535,car,car,True
drive_038,17,14,0.824746,car,car,True
drive_038,26,12,0.772442,car,car,True
drive_008,1,11,0.929461,car,car,True
drive_008,2,6,0.86896,car,car,True
drive_008,3,2,0.897163,car,car,True
drive_008,4,14,0.83572,car,car,True
drive_008,5,13,0.616971,car,car,True
drive_008,6,7,0.846271,car,car,True
drive_008,10,9,0.952386,bus,van,False
drive_008,11,1,0.881425,truck,bus,False
drive_008,12,3,0.917809,van,truck,False
drive_008,13,15,0.299509,car,car,True
drive_008,21,5,0.824425,van,truck,False
drive_008,24,16,0.945422,car,car,True
drive_008,27,12,0.882903,car,truck,False
drive_008,28,4,0.947394,car,car,True
